Settle Date;Security;Maturity;Bid Price;Ask Price;Accrued
2022.01.06;A240626B15;2024.06.26;96.5739;96.8428;1.5945
2022.01.06;A311022A15;2031.10.22;88.5273;89.3173;0.6767
2022.01.06;A271027A16;2027.10.27;91.3351;91.9019;0.5836
2022.01.06;A221026B17;2022.10.26;98.7487;98.8103;0.3452
2022.01.06;A261222D17;2026.12.22;91.7522;92.2474;0.113
2022.01.06;A230726B18;2023.07.26;100.15;100.5;0.396
2022.01.06;A381027A18;2038.10.27;78.278;79.5439;0.5836
2022.01.06;A241024C18;2024.10.24;94.8921;95.1411;0.5068
2022.01.06;A300821A19;2030.08.21;87.7707;88.6094;1.1342
2022.01.06;A220824C19;2022.08.24;99.182;99.0173;0.5548
2022.01.06;A251126C19;2025.11.26;87.7005;88.0871;0.1123
2022.01.06;A270422B20;2027.04.22;98.44;98.8;0.399
2022.01.06;A410425A20;2041.04.25;75.994;77.3431;2.1041
2022.01.06;A230823C20;2023.08.23;96.4442;96.6404;0.5589
2022.01.06;A290523A20;2029.05.23;83.2637;83.8129;1.2493
2022.01.06;A260422E20;2026.04.22;88.0263;88.4143;1.0644
2022.01.06;A330420A20;2033.04.20;78.3106;79.0549;1.6089
2022.01.06;A340622A21;2034.06.22;75.6291;76.4078;1.2205
2022.01.06;A290822B21;2029.08.22;97.22;97.6512;0.3063
2022.01.06;A260826F21;2026.08.26;87.1601;87.574;0.5466
2022.01.06;A510428G21;2051.04.28;84.0942;85.8568;2.7726
2022.01.06;D220504;2022.05.04;99.1002;99.1485;0
2022.01.06;D220629;2022.06.29;98.5519;98.6177;0
2022.01.06;D220824;2022.08.24;98.0579;98.144;0
2022.01.06;D221019;2022.10.19;97.4529;97.5435;0
2022.01.06;D221228;2022.12.28;96.195;96.3324;0
2022.01.07;A231124A07;2023.11.24;102.8857;103.1033;0.7233
2022.01.07;A220624A11;2022.06.24;101.5972;101.6583;3.7781
2022.01.07;A281022A11;2028.10.22;111.8423;112.6432;1.424
2022.01.07;A250624B14;2025.06.24;103.0131;103.4313;2.9685
2022.01.07;A240626B15;2024.06.26;96.5552;96.8461;1.6027
2022.01.07;A311022A15;2031.10.22;88.9595;89.8994;0.6856
2022.01.07;A271027A16;2027.10.27;91.6213;92.2376;0.5918
2022.01.07;A221026B17;2022.10.26;98.6915;98.7989;0.35
2022.01.07;A261222D17;2026.12.22;91.674;92.1684;0.1205
2022.01.07;A230726B18;2023.07.26;100.15;100.5;0.4015
2022.01.07;A381027A18;2038.10.27;79.546;80.6372;0.5918
2022.01.07;A241024C18;2024.10.24;94.8966;95.2203;0.5137
2022.01.07;A300821A19;2030.08.21;88.4826;89.3293;1.1425
2022.01.07;A220824C19;2022.08.24;98.8764;98.9368;0.5589
2022.01.07;A251126C19;2025.11.26;87.6121;88.0302;0.1151
2022.01.07;A270422B20;2027.04.22;98.44;98.8;0.4043
2022.01.07;A410425A20;2041.04.25;77.3452;78.6176;2.1123
2022.01.07;A230823C20;2023.08.23;96.3297;96.5252;0.563
2022.01.07;A290523A20;2029.05.23;83.6528;84.3158;1.2548
2022.01.07;A260422E20;2026.04.22;87.8928;88.3504;1.0685
2022.01.07;A330420A20;2033.04.20;79.0588;79.7357;1.6151
2022.01.07;A340622A21;2034.06.22;76.4116;77.3586;1.2267
2022.01.07;A290822B21;2029.08.22;97.22;97.652;0.3131
2022.01.07;A260826F21;2026.08.26;87.017;87.5052;0.5507
2022.01.07;A510428G21;2051.04.28;85.1733;86.4105;2.7836
2022.01.07;D220504;2022.05.04;99.1078;99.1525;0
2022.01.07;D220629;2022.06.29;98.5601;98.6209;0
2022.01.07;D220824;2022.08.24;98.0417;98.1274;0
2022.01.07;D221019;2022.10.19;97.454;97.5519;0
2022.01.07;D221228;2022.12.28;96.2052;96.3423;0
2022.01.10;A231124A07;2023.11.24;102.8367;103.0894;0.7726
2022.01.10;A220624A11;2022.06.24;101.5363;101.5916;3.8356
2022.01.10;A281022A11;2028.10.22;111.6457;112.5058;1.4795
2022.01.10;A250624B14;2025.06.24;103.0385;103.3594;3.0137
2022.01.10;A240626B15;2024.06.26;96.566;96.856;1.6274
2022.01.10;A311022A15;2031.10.22;88.4656;89.3986;0.7123
2022.01.10;A271027A16;2027.10.27;91.5371;92.1044;0.6164
2022.01.10;A221026B17;2022.10.26;98.6742;98.7653;0.3644
2022.01.10;A261222D17;2026.12.22;91.6448;92.0557;0.1432
2022.01.10;A230726B18;2023.07.26;100.15;100.5;0.418
2022.01.10;A381027A18;2038.10.27;78.4799;79.6507;0.6164
2022.01.10;A241024C18;2024.10.24;94.861;95.1587;0.5342
2022.01.10;A300821A19;2030.08.21;88.1686;88.8157;1.1671
2022.01.10;A220824C19;2022.08.24;98.8253;98.8789;0.5712
2022.01.10;A251126C19;2025.11.26;87.604;87.9246;0.1233
2022.01.10;A270422B20;2027.04.22;98.7829;99.15;0.42
2022.01.10;A410425A20;2041.04.25;76.5177;77.6668;2.137
2022.01.10;A230823C20;2023.08.23;96.3327;96.4823;0.5753
2022.01.10;A290523A20;2029.05.23;83.5036;84.2198;1.2712
2022.01.10;A260422E20;2026.04.22;87.8789;88.2651;1.0808
2022.01.10;A330420A20;2033.04.20;78.6233;79.5209;1.6336
2022.01.10;A340622A21;2034.06.22;75.8773;76.8946;1.2452
2022.01.10;A290822B21;2029.08.22;97.2228;97.7;0.3335
2022.01.10;A260826F21;2026.08.26;87.0003;87.4123;0.563
2022.01.10;A510428G21;2051.04.28;84.0974;85.1756;2.8164
2022.01.10;D220504;2022.05.04;99.0589;99.1056;0
2022.01.10;D220629;2022.06.29;98.5618;98.6261;0
